ID Conexão,ID Cliente,Número do Imóvel,ID Endereço,ID Categoria,Data Matrícula,Inativo,Motivo da Falha
1459,332,912,26,10,2000-01-01,"""\\0""",CPF com checksum inválido
1466,1085,37F,47,1,2000-01-01,"""\\0""",CPF com checksum inválido
1470,1249,2211,3,1,2000-01-01,"""\\0""",CPF com checksum inválido
1472,1251,179,7,1,2000-01-01,"""\\0""",CPF com checksum inválido
1494,1271,33-A,35,18,2000-01-01,"""\\0""",CPF com checksum inválido
1529,879,2095 inativo,3,1,2000-01-01,"""\u0001""",CPF com checksum inválido
1538,1309,2214-inativo,3,1,2000-01-01,"""\u0001""",CPF com checksum inválido
1582,1344,0001,34,3,2000-01-01,"""\u0001""",CPF com checksum inválido
1583,1345,0002,34,3,2000-01-01,"""\\0""",CPF com checksum inválido
1584,1346,003,34,3,2000-01-01,"""\\0""",CPF com checksum inválido
1586,1348,0005,34,3,2000-01-01,"""\u0001""",CPF com checksum inválido
1587,1349,006,34,3,2000-01-01,"""\\0""",CPF com checksum inválido
1588,1350,007,39,3,2000-01-01,"""\\0""",CPF com checksum inválido
1589,1351,008,34,3,2000-01-01,"""\\0""",CPF com checksum inválido
1590,1352,009,34,3,2000-01-01,"""\\0""",CPF com checksum inválido
1591,1353,010,34,3,2000-01-01,"""\\0""",CPF com checksum inválido
1593,1355,012,34,3,2000-01-01,"""\\0""",CPF com checksum inválido
1595,1357,0016,34,3,2000-01-01,"""\\0""",CPF com checksum inválido
1596,1358,0017,34,3,2000-01-01,"""\\0""",CPF com checksum inválido
1597,1359,0018,34,3,2000-01-01,"""\\0""",CPF com checksum inválido
1599,1361,713,39,1,2000-01-01,"""\\0""",CPF com checksum inválido
1636,1390,235-inativo,7,1,2000-01-01,"""\u0001""",CPF com checksum inválido
1638,1392,1773,20,1,2000-01-01,"""\\0""",CPF com checksum inválido
1666,1415,32-A,35,1,2000-01-01,"""\\0""",CPF com checksum inválido
1690,52,20,8,2,2000-01-01,"""\\0""",CPF com checksum inválido
1693,913,42F-inativa,52,4,2000-01-01,"""\u0001""",CPF com checksum inválido
1694,1309,1968-Inativa,3,1,2000-01-01,"""\u0001""",CPF com checksum inválido
1713,792,2051,4,1,2013-10-28,"""\\0""",CPF com checksum inválido
1758,1481,583-inativo,32,1,2015-08-01,"""\u0001""",CPF com checksum inválido
1785,1501,1939,87,1,,"""\\0""",CPF com checksum inválido
1819,1526,634 inativo,32,5,2015-04-01,"""\u0001""",CPF com checksum inválido
1839,1539,54-U,57,1,2015-05-26,"""\u0001""",CPF com checksum inválido
1858,1553,1456 inativo,36,1,2022-12-15,"""\u0001""",CPF com checksum inválido
1919,1597,1394A-inativo,1,1,2015-12-02,"""\u0001""",CPF com checksum inválido
1920,879,1968 inativo,3,1,2015-12-08,"""\u0001""",CPF com checksum inválido
1926,816,2346A,41,5,2015-12-18,"""\\0""",CPF com checksum inválido
1937,1609,195,7,1,,"""\\0""",CPF com checksum inválido
1960,1526,1089-inativo,17,1,2016-05-02,"""\u0001""",CPF com checksum inválido
2079,1702,1902-DESLIGADA,12,4,2017-12-25,"""\u0001""",CPF com checksum inválido
2086,1198,405,10,1,2018-01-08,"""\u0001""",CPF com checksum inválido
2122,1732,1974,4,5,2018-06-11,"""\\0""",CPF com checksum inválido
2151,1754,13-LPHF,85,5,2018-09-25,"""\\0""",CPF com checksum inválido
2173,1769,19-LPHF,71,5,2018-11-12,"""\\0""",CPF com checksum inválido
2251,1828,52,8,1,2019-07-01,"""\\0""",CPF com checksum inválido
2254,1828,323,10,30,2019-07-25,"""\\0""",CPF com checksum inválido
2334,1887,90-LPHF,84,5,,"""\\0""",CPF com checksum inválido
2408,1940,124-LPHF,84,5,,"""\\0""",CPF com checksum inválido
2430,1132,60-LPHF,74,5,2020-12-07,"""\\0""",CPF com checksum inválido
2469,1981,663 - inativo,32,1,2026-05-14,"""\u0001""",CPF com checksum inválido
2488,1994,2256 INATIVO,12,5,2021-06-23,"""\u0001""",CPF com checksum inválido
2489,1995,582-A,32,5,2021-07-05,"""\\0""",CPF com checksum inválido
2514,1053,158-LPHF,91,5,2021-09-01,"""\\0""",CPF com checksum inválido
2569,2054,2026,4,5,2022-02-08,"""\\0""",CPF com checksum inválido
2573,1053,175 LPHF,84,5,2022-02-21,"""\\0""",CPF com checksum inválido
2598,2070,2332,41,5,2022-05-16,"""\\0""",CPF com checksum inválido
2620,2078,186 LPHF,84,5,2022-07-19,"""\\0""",CPF com checksum inválido
2630,2083,2046,4,5,2022-08-11,"""\\0""",CPF com checksum inválido
2636,2089,193 LPHF,74,5,2025-03-18,"""\\0""",CPF com checksum inválido
2664,2111,203 LPHF,74,5,,"""\\0""",CPF com checksum inválido
2686,2125,51,8,1,2023-01-19,"""\\0""",CPF com checksum inválido
2719,2151,213 LPHF,74,5,,"""\\0""",CPF com checksum inválido
2720,2152,214 LPHF,77,5,,"""\\0""",CPF com checksum inválido
2747,2172,00037,32,15,,"""\\0""",CPF com checksum inválido
2752,2174,448inativo,10,5,2025-05-15,"""\u0001""",CPF com checksum inválido
2769,2186,787inativo,34,5,2023-09-12,"""\u0001""",CPF com checksum inválido
2770,1132,1623,19,1,2023-09-13,"""\\0""",CPF com checksum inválido
2790,1349,cadastro errado,5,11,2023-11-21,"""\u0001""",CPF com checksum inválido
2799,1940,879r,67,5,2023-12-19,"""\\0""",CPF com checksum inválido
2845,2234,615,21,1,,"""\\0""",CPF com checksum inválido
2852,2241,882,26,5,,"""\\0""",CPF com checksum inválido
2865,2251,965,42,5,,"""\\0""",CPF com checksum inválido
2880,2259,2320A,41,5,,"""\\0""",CPF com checksum inválido
2904,2275,1169,30,5,,"""\\0""",CPF com checksum inválido
2968,2319,2375 A,41,5,,"""\\0""",CPF com checksum inválido
2983,2327,258 LPHF,71,5,,"""\\0""",CPF com checksum inválido
3002,2336,00048,26,15,,"""\\0""",CPF com checksum inválido
3008,2340,34 LAN inativo,52,30,2026-01-05,"""\u0001""",CPF com checksum inválido
3066,2379,1341,1,1,,"""\\0""",CPF com checksum inválido
3071,1053,169 LPHF,74,5,2026-04-22,"""\\0""",CPF com checksum inválido
1594,1356,0013,34,3,2000-01-01,"""\u0001""",CPF e CNPJ vazios
